,Category,Next Channel,Count
0,StateFunded,BBC Ideas,38
1,StateFunded,Biographics,1
2,StateFunded,The Incredible Journey,1
3,StateFunded,YouTube,15
4,StateFunded,Digiday,2
5,StateFunded,HISTORY,1
6,StateFunded,PierceCollegeDist11,2
7,StateFunded,TVO Docs,26
8,StateFunded,Jewish Federations of North America,1
9,StateFunded,Understood,4
10,StateFunded,California Garden TV,1
11,StateFunded,socratesinthecity,2
12,StateFunded,Ahava Jerusalem,1
13,StateFunded,University of California Television (UCTV),5
14,StateFunded,YouTube Movies,41
15,StateFunded,UnHerd,3
16,StateFunded,Fox News,89
17,StateFunded,RT Documentary,22
18,StateFunded,VICE,1
19,StateFunded,The People,5
20,StateFunded,Rocky Mountain PBS,9
21,StateFunded,DW Documentary,38
22,StateFunded,CGTN America,1
23,StateFunded,60 Minutes Australia,79
24,StateFunded,Only Human,2
25,StateFunded,CBC News,50
26,StateFunded,Mississippi Public Broadcasting,2
27,StateFunded,WELT Documentary,2
28,StateFunded,wocomoHUMANITY,1
29,StateFunded,National Geographic,4
30,StateFunded,TRT World,13
31,StateFunded,PBS NewsHour,13
32,StateFunded,Redacted Tonight,6
33,StateFunded,Levy Economics Institute,18
34,StateFunded,Amanpour and Company,3
35,StateFunded,HooverInstitution,37
36,StateFunded,The Agenda with Steve Paikin,22
37,StateFunded,George Carlin Official YouTube Channel,3
38,StateFunded,FRANCE 24 English,8
39,StateFunded,MSNBC,55
40,StateFunded,Pritish Sahoo,1
41,StateFunded,Moyers & Company,7
42,StateFunded,TEDx Talks,14
43,StateFunded,Democracy Now!,2
44,StateFunded,LastWeekTonight,2
45,StateFunded,WIRED UK,23
46,StateFunded,The Rubin Report,1
47,StateFunded,Emory University,1
48,StateFunded,"WKBW TV | Buffalo, NY",1
49,StateFunded,minhealthnz,12
50,StateFunded,The Sun,10
51,StateFunded,Commonwealth Club,3
52,StateFunded,Intelligence Squared,8
53,StateFunded,Triggernometry,2
54,StateFunded,The New School,77
55,StateFunded,SOAS University of London,7
56,StateFunded,Al Jazeera English,17
57,StateFunded,CNBC,22
58,StateFunded,The Economist,26
59,StateFunded,Jack Chapple,1
60,StateFunded,CBC News: The National,75
61,StateFunded,BBC News,11
62,StateFunded,CNN,31
63,StateFunded,Council on Foreign Relations,24
64,StateFunded,ITV News,15
65,StateFunded,DW News,10
66,StateFunded,RT America,6
67,StateFunded,The Great Courses Plus,4
68,StateFunded,NBC News,90
69,StateFunded,The Late Show with Stephen Colbert,9
70,StateFunded,Cambridge Union,4
71,StateFunded,Project Syndicate,1
72,StateFunded,The Hill,1
73,StateFunded,Patriot Act,18
74,StateFunded,The Laura Flanders Show,1
75,StateFunded,The Dick Cavett Show,4
76,StateFunded,Leadership Institute,1
77,StateFunded,Rolling Stone,5
78,StateFunded,Jocko Podcast,6
79,StateFunded,NowThis News,16
80,StateFunded,Epic History TV,2
81,StateFunded,Searching for C-Shels,1
82,StateFunded,Tripping The Rideau Canal,1
83,StateFunded,Hillingdon London,1
84,StateFunded,JL Tourist Places,1
85,StateFunded,David Othen,1
86,StateFunded,Maclean's,1
87,StateFunded,Tokyo Explorer,1
88,StateFunded,DIY Inspiration,1
89,StateFunded,iRound the World,1
90,StateFunded,WPBS-TV,1
91,StateFunded,Ákos Maróy,1
92,StateFunded,mykaskin,1
93,StateFunded,Brandon Johnson,1
94,StateFunded,Central Washington University,1
95,StateFunded,NCASVideo,2
96,StateFunded,Candid Clara,1
97,StateFunded,CBC,4
98,StateFunded,RussianPlus,2
99,StateFunded,Emma & Ofer,1
100,StateFunded,Curious Droid,1
101,StateFunded,Rex Schaller,1
102,StateFunded,GeekyAsianDad,1
103,StateFunded,Matt and Jeff,2
104,StateFunded,FS MaNiA,1
105,StateFunded,KONUL,1
106,StateFunded,sofcic,1
107,StateFunded,Ralf Vlogs,1
108,StateFunded,BBC Newsnight,17
109,StateFunded,CBC Vancouver,51
110,StateFunded,Good Morning Britain,45
111,StateFunded,Journeyman Pictures,3
112,StateFunded,Vox,5
113,StateFunded,BBC Radio 4,12
114,StateFunded,Artful Videos,1
115,StateFunded,Smarthistory,2
116,StateFunded,Kunsthistorisches Museum Wien,1
117,StateFunded,Detroit Institute of Arts,1
118,StateFunded,The Met,3
119,StateFunded,Artstory28,1
120,StateFunded,Amor Sciendi,1
121,StateFunded,Tani Matveeva,1
122,StateFunded,Canal Educatif à la Demande (CED),1
123,StateFunded,Emile Warot,1
124,StateFunded,USArmyWarCollege,1
125,StateFunded,Royal Museums of Fine Arts of Belgium Brussels,1
126,StateFunded,Jewish Journal,2
127,StateFunded,Art Documentaries,1
128,StateFunded,Mišo Ždinjak,1
129,StateFunded,The Guardian,1
130,StateFunded,Action for Happiness,1
131,StateFunded,Juha UK,1
132,StateFunded,VisitDenmark,1
133,StateFunded,Oxfam GB,1
134,StateFunded,BBC Studios,1
135,StateFunded,The Pool,1
136,StateFunded,Thomas Singletary,1
137,StateFunded,Tate,1
138,StateFunded,Anna Kendrick Vietnam,1
139,StateFunded,Cizik School of Nursing,2
140,StateFunded,Swhype,1
141,StateFunded,BBC,6
142,StateFunded,TheArchangel911,1
143,StateFunded,BBC HARDtalk,10
144,StateFunded,Nelson Mandela Foundation,1
145,StateFunded,Evan Carmichael,1
146,StateFunded,George Michael NL,1
147,StateFunded,vpro documentary,8
148,StateFunded,Stanford Graduate School of Business,1
149,StateFunded,Mr. A,1
150,StateFunded,Grow Successful,1
151,StateFunded,Mongabay India,1
152,StateFunded,The Secrets of Nature,1
153,StateFunded,"People's Daily, China 人民日报",1
154,StateFunded,Denver7 – The Denver Channel,1
155,StateFunded,Free High-Quality Documentaries,2
156,StateFunded,StarMediaEN,12
157,StateFunded,BBC Earth,3
158,StateFunded,New China TV,2
159,StateFunded,Real Wild,1
160,StateFunded,BBC News Africa,3
161,StateFunded,Amazing Stock,1
162,StateFunded,CGTN,3
163,StateFunded,Battle Arenas,1
164,StateFunded,The Big Picture RT,4
165,StateFunded,The Obama White House,8
166,StateFunded,Learn Liberty,6
167,StateFunded,GreekReporter,1
168,StateFunded,Encore +,10
169,StateFunded,Drew Durnil,1
170,StateFunded,Super Bunnyhop,1
171,StateFunded,Chicago Humanities Festival,3
172,StateFunded,Financial Times,4
173,StateFunded,WYCC PBS Chicago,1
174,StateFunded,Gapminder Foundation,14
175,StateFunded,Town Hall Seattle,2
176,StateFunded,Mount Sinai Health System,2
177,StateFunded,CNA Insider,1
178,StateFunded,CenturaHealth,1
179,StateFunded,ReaganFoundation,1
180,StateFunded,Dragons' Den,3
181,StateFunded,CNBC Television,7
182,StateFunded,Doctor Mike Hansen,4
183,StateFunded,VOA News,3
184,StateFunded,The Telegraph,6
185,StateFunded,9 News Australia,15
186,StateFunded,Quartz,1
187,StateFunded,Eyewitness News ABC7NY,11
188,StateFunded,ABC Action News,1
189,StateFunded,Sputnik,5
190,StateFunded,Top Viral Talent,1
191,StateFunded,LCI,1
192,StateFunded,Rick Steves' Europe,3
193,StateFunded,Hazel Allen,1
194,StateFunded,ARIRANG TV,1
195,StateFunded,space and astronomy,1
196,StateFunded,Thomas Groppi,1
197,StateFunded,RealLifeLore,1
198,StateFunded,Discovery Science,8
199,StateFunded,Space & The Universe HD,1
200,StateFunded,KVIEvideo,1
201,StateFunded,Smithson277,1
202,StateFunded,BBC Documentary,1
203,StateFunded,Brown University,7
204,StateFunded,Sky News,9
205,StateFunded,David Schlotthauer,2
206,StateFunded,FRONTLINE PBS | Official,3
207,StateFunded,IRamzayI,1
208,StateFunded,Mustard,3
209,StateFunded,Eddie Bauer,2
210,StateFunded,The News & Observer,1
211,StateFunded,Cars Overview,1
212,StateFunded,Carmelo Anthony,4
213,StateFunded,LA-OC.tv,4
214,StateFunded,Arcadia Boosted,6
215,StateFunded,Johnny Bigger,2
216,StateFunded,Sky News Australia,11
217,StateFunded,The Royal Institution,4
218,StateFunded,University of Kentucky College of Arts & Sciences,4
219,StateFunded,92nd Street Y,17
220,StateFunded,Channel 4 News,5
221,StateFunded,CNBC Make It.,5
222,StateFunded,NBCLA,3
223,StateFunded,Brian Tyler Cohen,3
224,StateFunded,TeleSUR English,11
225,StateFunded,AltoqueTV4,1
226,StateFunded,vitaloneorg,1
