,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,WhiteIdentitarian,Survive the Jive,"Flaming Tar Barrels - Crazy English Folk Tradition, Ottery 2018",13106,Survive the Jive,6
1,WhiteIdentitarian,Survive the Jive,"Flaming Tar Barrels - Crazy English Folk Tradition, Ottery 2018",13106,The Telegraph,1
2,WhiteIdentitarian,Survive the Jive,"Flaming Tar Barrels - Crazy English Folk Tradition, Ottery 2018",13106,The Zac and Jay Show,1
3,WhiteIdentitarian,Survive the Jive,"Flaming Tar Barrels - Crazy English Folk Tradition, Ottery 2018",13106,kliksphilip,1
4,WhiteIdentitarian,Survive the Jive,"Flaming Tar Barrels - Crazy English Folk Tradition, Ottery 2018",13106,Danny Cooke Freelance Filmmaker,1
5,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,Way of the World,2
6,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,CNBC International TV,1
7,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,Fox News,2
8,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,HooverInstitution,3
9,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,RT,1
10,WhiteIdentitarian,Way of the World,Sweden's REAL Alternative,55239,Gapminder Foundation,1
11,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,Stefan Molyneux,1
12,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,The New School,1
13,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,PowerfulJRE,2
14,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,ANU TV,1
15,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,Jordan B Peterson,3
16,WhiteIdentitarian,Stefan Molyneux,Why There Are Riots - Stefan Molyneux of Freedomain,112799,HooverInstitution,2
17,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,American Renaissance,1
18,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,Fox News,4
19,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,Liberty University,1
20,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,Fox News Insider,1
21,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,HooverInstitution,1
22,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,JoeRyanCivilWar,1
23,WhiteIdentitarian,American Renaissance,They Hate Trump’s Wall – Because Border Walls Work,61383,AJ+,1
24,WhiteIdentitarian,AustralianRealist,Alan Colmes Interviews Jared Taylor about Donald Trump,33596,AustralianRealist,1
25,WhiteIdentitarian,AustralianRealist,Alan Colmes Interviews Jared Taylor about Donald Trump,33596,HooverInstitution,3
26,WhiteIdentitarian,AustralianRealist,Alan Colmes Interviews Jared Taylor about Donald Trump,33596,Fox News,4
27,WhiteIdentitarian,AustralianRealist,Alan Colmes Interviews Jared Taylor about Donald Trump,33596,John Anderson,1
28,WhiteIdentitarian,AustralianRealist,Alan Colmes Interviews Jared Taylor about Donald Trump,33596,JoeRyanCivilWar,1
29,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Millennial Woes,1
30,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Foundation for Individual Rights in Education,1
31,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Channels Television,1
32,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Kevin Samuels,1
33,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Fox News,1
34,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,John Anderson,1
35,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Sky News Australia,1
36,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Philosophy Tube,1
37,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,Studio 10,1
38,WhiteIdentitarian,Millennial Woes,"AMA Clip: censorship, freedom of speech, and subversion",2896,JoeRyanCivilWar,1
39,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,Laura Towler,1
40,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,EURACTIV,1
41,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,UKIP MEPs,1
42,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,M. Laser History,1
43,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,Ruptly,1
44,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,Quest Means Business,1
45,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,Langfocus,1
46,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,The Nomadic Professor,1
47,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,HooverInstitution,1
48,WhiteIdentitarian,Laura Towler,How Viktor Orban is Saving Hungary,37377,Conservatives,1
49,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,Black Pigeon Speaks,1
50,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,Fox News,3
51,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,Team BlackSheep,1
52,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,PBS NewsHour,1
53,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,HooverInstitution,1
54,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,Reflex Cinema,1
55,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,Vox,1
56,WhiteIdentitarian,Black Pigeon Speaks,Pepe: Hong Kong Protests' Symbol of FREEDOM,122944,jimgaffigan,1
57,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,Survive the Jive,5
58,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,NativLang,1
59,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,ImperiumUltimum,1
60,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,Ananda Sangha Worldwide,1
61,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,Fox News,1
62,WhiteIdentitarian,Survive the Jive,René Guénon on Hinduism,28140,Spark,1
63,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,Robyn Riley,1
64,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,HooverInstitution,3
65,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,Fox News,3
66,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,Studio 10,1
67,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,Netflix Is A Joke,1
68,WhiteIdentitarian,Robyn Riley,Alex Jones and Erasing Internet History,26738,Bertelsmann Foundation,1
69,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,Blonde in the Belly of the Beast,1
70,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,HooverInstitution,2
71,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,The Try Guys,1
72,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,Fox News,1
73,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,John Anderson,1
74,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,Jay Townsend,1
75,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,Academy of Ideas,1
76,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,WYCC PBS Chicago,1
77,WhiteIdentitarian,Blonde in the Belly of the Beast,Political Strategies & Our Legacies,72118,Chicago Humanities Festival,1
78,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,On The Offensive,1
79,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,HooverInstitution,1
80,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,The Late Late Show with James Corden,1
81,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,Timeline - World History Documentaries,1
82,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,LosGranosTV,1
83,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,Mindvalley Talks,1
84,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,Gordon Ramsay,1
85,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,Count Dankula Streams,1
86,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,TEDx Talks,1
87,WhiteIdentitarian,On The Offensive,Millenniyule 2018: On the Offensive,9071,Tom Bilyeu,1
88,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,Robyn Riley,1
89,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,HooverInstitution,1
90,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,David Guetta,1
91,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,TARGO,1
92,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,Peter Kay,1
93,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,Fox News,2
94,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,DW News,1
95,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,Moyers & Company,1
96,WhiteIdentitarian,Robyn Riley,The Flames of Notre Dame,8979,K-State College of Education,1
97,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,Survive the Jive,3
98,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,Institute for Advanced Study,1
99,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,YaleCourses,1
100,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,Ancestral Findings,1
101,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,Chicago Humanities Festival,1
102,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,HooverInstitution,1
103,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,RF Tree Genealogy,1
104,WhiteIdentitarian,Survive the Jive,What are Haplogroups and does it matter?,83265,University of California Television (UCTV),1
