,Channel,Channel Subscribers,Video Name,Posted Date,Video Views,Video Likes,Video Dislikes,Comment,Comment Likes
0,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Black Lives Matter: how you can help. Check out this link for ways to help including donating, signing petitions, education, and other resources. 
https://blacklivesmatters.carrd.co",4.3K
1,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Also known as a lactose intoleran’s devilish dessert,5.5K
2,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I've been making milkshakes with just a fork for like. My entire life. Everyone laughed at me. It works just fine. It's a nice little workout as well.,774
3,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Just imagine him going up to his girlfriend and-
“Hey can I record an audio of you fake crying”
‘Why’
“I need you to voice my blender”",755
4,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,The only internet cook who makes me question whether or not I’m having a stroke,242
5,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,This guy’s humour is so dark and dry and I’m not complaining.,203
6,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,The crying blender really hit me in the feels.,2.2K
7,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Blender: multiple males going RRRrRrRruUuuRRR

Also blender: cries like a woman",334
8,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Relieved you pointed out that the banana string's inclusion was a mistake.,118
9,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I didn't realize how much I miss the songs until there wasn't one,34
10,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Let's smear caramel on the outside of the glass so it's easy to lick off""

If only that was just a joke and there weren't restaurants that do that for real...",487
11,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"As a wise person once said,
""When life gives you milk, shake it.""",268
12,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,synthetic udder? nice. i use a Robot Cow 3000 i got from my uncle for last christmas haha,60
13,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,After seeing him use a fork to make a milkshake is gonna make me pissed whenever McDonald’s says their machine is broken,101
14,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"3:05 This did not only make it easy to lick off, it’s sticky enough to stick the glass to your hand so that you won’t drop your glass. So i would like to know when you would like to receive your nobel prize?",249
15,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"wow, he’s a professional youtuber now, he’s got an actual “blender”.",2.1K
16,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Which happens do be vegan""
smiles in lactose intolerant",66
17,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"0:54 “So we’ll garnish that with a scoop of ice cream”

Uses more ice cream than there is in the United Statues",1
18,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,YouTube is getting way to comfortable with these double ads,8
19,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I like the fact that he shares real and good recipes with a sprinkle of jokes,10
20,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Slightly disappointed that the “vanilla ginger” wasn’t called “vaginger.” 
Still a solid 8/10 lol",2.2K
21,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""and instead of smearing caramel on the inside of a glass let's smear it on the outside....""  so every wasp in the nearby area knows that you have a milkshake in your hand and make it wanna devour the sauce of your hand...",
22,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Then you garnish it with a banana""
Lol",4
23,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"No one:
YSAC: blender goes BRRRRRRRRRRRRRRRRRRRRRRRRRRR",9
24,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Man, this channel really went downhill...

... downhill to where my house is, for my cool, bottom-hill-side party that all you up-on-the-hill kids aren't invited to.",21
25,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Those garnishes are larger than the hole that Pimblockto’s  absence left in my heart,2.2K
26,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Dang I really need to get a wrangjangler.,4
27,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I just finished watching each and every episode on YSAC's channel and I really have no idea what to do with my life anymore.,1
28,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"a guy who's good at chess brought me here
don't ask how",3
29,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"When you can't go outside to make a special song for the episode :,(",3
30,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Googling making a milkshake: 'You need a specialized milkshake machine that's a blender but it also frothes and aerates the ingredients making it a proper tasting milkshake'
You Suck At Cooking on making a milkshake: 'You can use a fork and it works pretty well actually.'
Gives new meaning to 'Stick a fork in it, it's done'",2.1K
31,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""A big Bastard spoonful of peanut butter."" A new term for myself.",2
32,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Phew. The intro is back. I almost thought I didn't suck at cooking,2
33,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Why is his sarcasm so hilarious 😂 the blender in the trash, the damn peanut butter sign 🤣",2
34,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Oml how have I never seen this channel it's exactly what i need

Cooking + depression",2
35,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Puts caramel on outside of milkshake vessel
Everyone: *angry blender noises*",1.3K
36,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I always come to this channel expecting the most, and I never leave disappointed.",3
37,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,“Old crusty honey” 😭,3
38,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,00:56 when mom says you can only have one scoop of ice cream,3
39,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Me: I really wanna make a smoothie. Oh looks YSAC has a recipe
YSAC: haha smoothies go BBBRRRRRTT",1
